Word,Frequency
which,10747
would,10097
about,9021
there,8604
their,7485
movie,5860
other,5746
after,5564
first,5466
could,4901
these,3581
share,3511
while,3469
trade,3366
world,3114
three,3082
where,3073
stock,3027
group,2989
years,2899
being,2800
still,2769
under,2567
those,2485
sales,2452
story,2370
never,2369
since,2329
right,2248
march,2223
price,2102
great,2087
think,2077
japan,2034
today,2006
money,1987
going,1969
offer,1969
might,1845
woman,1785
state,1782
every,1682
again,1667
total,1667
major,1596
scene,1583
films,1579
house,1579
board,1563
point,1560
month,1513
place,1506
rates,1480
seems,1459
makes,1451
added,1449
until,1439
least,1428
thing,1366
small,1359
quite,1318
given,1297
early,1296
based,1286
young,1280
white,1218
black,1214
later,1172
found,1149
times,1144
banks,1130
close,1127
level,1113
night,1087
lower,1050
south,1048
wheat,1043
short,1039
along,1030
start,990
large,988
stake,979
whole,969
comes,966
asked,964
order,959
sense,948
among,935
terms,933
above,928
funny,926
takes,911
ended,909
prior,908
third,908
union,898
seven,897
sugar,881
value,880
final,879
plans,873
often,838
power,835
plays,833
talks,826
whose,801
crude,799
eight,799
local,790
death,789
water,786
light,782
taken,781
human,779
issue,774
music,773
watch,773
james,763
wants,755
chick,750
wrong,747
grain,743
below,736
gives,734
costs,729
worth,721
using,718
looks,698
means,697
doing,676
owned,676
field,675
shows,675
lines,671
china,665
split,660
marks,658
court,656
known,654
force,645
began,641
class,635
needs,635
maybe,633
clear,630
named,623
basis,622
bring,619
works,609
funds,598
north,591
hours,576
actor,573
party,572
weeks,566
style,562
study,559
areas,558
voice,556
leave,555
chief,554
hands,554
paris,551
child,548
women,540
sound,537
words,535
plant,529
space,526
crash,522
heart,522
alone,520
heard,519
loans,517
cause,515
heavy,508
texas,507
noted,505
baker,504
range,503
trust,503
prime,499
goods,497
cents,489
earth,488
fight,487
turns,482
train,480
girls,474
raise,461
humor,460
brown,459
video,458
stars,457
parts,455
index,452
allow,449
paper,447
begin,444
build,444
front,444
title,441
falls,440
lives,440
basic,439
jones,435
press,433
firms,432
daily,428
image,428
stand,426
units,424
steel,418
finds,415
tries,414
rules,411
knows,409
shown,406
touch,406
worst,406
comic,399
alien,397
piece,397
guess,394
gains,391
happy,391
smith,387
break,385
sharp,385
cocoa,384
focus,383
fruit,380
ahead,377
blood,376
ready,375
theme,374
crazy,370
drunk,369
peter,367
reach,366
stage,366
fails,363
opens,363
shall,362
gross,361
fully,360
floor,359
tried,359
bills,358
joint,358
cover,355
store,353
error,352
river,352
stood,351
wrote,351
table,350
sweet,349
quota,347
worse,343
drama,342
doubt,339
truly,338
fixed,337
notes,337
moves,335
moved,330
holds,326
tells,326
stuff,325
novel,324
write,322
calls,321
tonne,321
roles,320
round,320
green,317
fresh,315
ideas,314
carry,313
spent,310
miles,307
visit,307
usual,306
click,304
dutch,304
enjoy,304
enter,302
radio,301
feels,299
gonna,293
leads,293
truth,293
items,291
score,289
hotel,288
rises,288
solid,288
learn,287
jokes,286
robin,285
quick,282
waste,282
block,281
drive,281
steps,280
color,279
files,279
laugh,279
meets,277
mouth,274
spend,273
chase,270
genre,270
ships,270
event,268
cases,267
oscar,266
agent,265
crime,265
frank,265
limit,265
meant,263
boost,261
twice,258
avoid,255
bonds,255
metal,255
haven,254
older,254
depth,253
built,252
equal,251
brief,250
sight,250
cross,249
books,248
